department,page_url,number
미생물학과(학부),https://microbio.pusan.ac.kr/microbio/10800/subview.do,3043
미생물학과(대학원),https://microbio.pusan.ac.kr/microbio/10801/subview.do,603
미생물학과(취업),https://microbio.pusan.ac.kr/microbio/10802/subview.do,167
지질환경과학과,https://geology.pusan.ac.kr/geology/15533/subview.do,1877
지질환경과학과(자유),https://geology.pusan.ac.kr/geology/15535/subview.do,972
지질환경과학과(취업),https://geology.pusan.ac.kr/geology/15551/subview.do,273
대기환경과학과,https://atmos.pusan.ac.kr/atmos/4950/subview.do,1476
대기환경과학과(자유),https://atmos.pusan.ac.kr/atmos/4951/subview.do,316
해양학과,https://ocean.pusan.ac.kr/ocean/12787/subview.do,1957
해양학과(장학),https://ocean.pusan.ac.kr/ocean/12797/subview.do,270
해양학과(취업),https://ocean.pusan.ac.kr/ocean/12799/subview.do,469
경제통상대학 공지사항(취업),https://econtr.pusan.ac.kr/econtr/7725/subview.do,150
경영학과(학부),https://biz.pusan.ac.kr/biz/8941/subview.do,2926
경영학과(대학원),https://biz.pusan.ac.kr/biz/8941/subview.do,2926
경영학과(취업),https://biz.pusan.ac.kr/biz/8960/subview.do,1386
경영학과(장학),https://biz.pusan.ac.kr/biz/8961/subview.do,646
경제학부(학부),https://pnuecon.pusan.ac.kr/pnuecon/4872/subview.do,193
경제학부(취업),https://pnuecon.pusan.ac.kr/pnuecon/4873/subview.do,75
무역학부(학부),https://pnutrade.pusan.ac.kr/pnutrade/2560/subview.do,3493
무역학부(대학원),https://pnutrade.pusan.ac.kr/pnutrade/2561/subview.do,1311
무역학부(취업),https://pnutrade.pusan.ac.kr/pnutrade/3559/subview.do,861
관광컨벤션학과(학부),https://convention.pusan.ac.kr/convention/2097/subview.do,1266
관광컨벤션학과(대학원),https://convention.pusan.ac.kr/convention/2927/subview.do,371
관광컨벤션학과(취업),https://convention.pusan.ac.kr/convention/2928/subview.do,675
공공정책학부,https://ppm.pusan.ac.kr/ppm/9468/subview.do,307
국제전문대학원,https://graduate.pusan.ac.kr/gsis/52005/subview.do,839
국제전문대학원(기타),https://graduate.pusan.ac.kr/gsis/52006/subview.do,177
예술대학 공지사항,https://art.pusan.ac.kr/art/1518/subview.do,17
음악학과,https://music.pusan.ac.kr/music/11763/subview.do,1260
음악학과(취업),https://music.pusan.ac.kr/music/11768/subview.do,593
한국음악학과,https://gukak.pusan.ac.kr/gukak/10687/subview.do,968
미술학과,https://pnuart.pusan.ac.kr/pnuart/20095/subview.do,260
조형학과,https://plarts.pusan.ac.kr/plarts/13690/subview.do,329
디자인학과,https://design.pusan.ac.kr/design/5370/subview.do,440
무용학과,https://dance.pusan.ac.kr/dance/12636/subview.do,36
예술문화영상학과,https://artimage.pusan.ac.kr/artimage/16476/subview.do,537
예술문화영상학과(자유),https://artimage.pusan.ac.kr/artimage/16480/subview.do,146
생활과학대학 공지사항,https://che.pusan.ac.kr/che/7652/subview.do,330
아동가족학과,https://cdfs.pusan.ac.kr/cdfs/1556/subview.do,1971
아동가족학과(취업),https://cdfs.pusan.ac.kr/cdfs/1558/subview.do,149
의류학과,https://fashion.pusan.ac.kr/fashion/8612/subview.do,2790
식품영양학과,https://fsn.pusan.ac.kr/fsn/15462/subview.do,331
식품영양학과(취업),https://fsn.pusan.ac.kr/fsn/15438/subview.do,191
실내환경디자인학과,https://hid.pusan.ac.kr/hid/10648/subview.do,1074
실내환경디자인학과(취업),https://hid.pusan.ac.kr/hid/10666/subview.do,44
실내환경디자인학과(기타),https://hid.pusan.ac.kr/hid/10650/subview.do,142
스포츠과학과,https://sportscience.pusan.ac.kr/sportscience/3107/subview.do,1358
스포츠과학과(대학원),https://sportscience.pusan.ac.kr/sportscience/3108/subview.do,426
스포츠과학과(취업),https://sportscience.pusan.ac.kr/sportscience/1310/subview.do,67
생명자원과학대학 공지사항,https://nrls.pusan.ac.kr/nrls/14277/subview.do,231
